Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DVCR,Diversicare Healthcare Services Inc.,3.35,22385571,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/dvcr
SMCP,AlphaMark Actively Managed Small Cap ETF,23.53,22353500,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp
CREX,"Creative Realities, Inc.",2.29,22300972.64,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/crex
WCFB,"WCF Bancorp, Inc.",8.675,22221376.85,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wcfb
VALX,Validea Market Legends ETF,26.01,22108473.99,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/valx
ZKIN,"ZK International Group Co., Ltd",1.33,22022189.21,n/a,2017,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/zkin
EPIX,ESSA Pharma Inc.,2.7475,21880067.93,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/epix
KIRK,"Kirkland&#39;s, Inc.",1.54,21812787.92,n/a,2002,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/kirk
WISA,"Summit Wireless Technologies, Inc.",1.11,21718150.11,n/a,2018,Technology,Semiconductors,https://www.nasdaq.com/symbol/wisa
WVVIP,"Willamette Valley Vineyards, Inc.",4.6223,21552712.53,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/wvvip
AZRX,"AzurRx BioPharma, Inc.",1.02,21525869.88,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/azrx
CLDC,China Lending Corporation,0.8499,21492144.56,n/a,2014,Finance,Diversified Financial Services,https://www.nasdaq.com/symbol/cldc
CCIH,ChinaCache International Holdings Ltd.,0.8839,21356332.17,24161480,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/ccih
SLVO,Credit Suisse AG,6.97,21268209.21,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/slvo
GENY,Principal Millennials Index ETF,38.57,21213538.57,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/geny
LPTH,"LightPath Technologies, Inc.",0.8185,21128673.06,n/a,1996,Technology,Semiconductors,https://www.nasdaq.com/symbol/lpth
PSCE,Invesco S&P SmallCap Energy ETF,8.2574,21056370,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psce
USAU,U.S. Gold Corp.,1.06,21043718.9,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/usau
AMTX,"Aemetis, Inc",1.03,20986700.11,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx
FBIOP,"Fortress Biotech, Inc.",20.8,20800000,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fbiop
YLCO,Global X YieldCo & Renewable Energy Income ETF,13.77,20657272.05,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ylco
TLC,"Taiwan Liposome Company, Ltd.",5.275,20654526.25,3915550,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tlc
POAI,Predictive Oncology Inc.,0.672,20617343.04,n/a,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/poai
CODX,"Co-Diagnostics, Inc.",1.21,20589076.86,n/a,2017,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/codx
BASI,"Bioanalytical Systems, Inc.",2,20581062,n/a,1997,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/basi
OCCIP,"OFS Credit Company, Inc.",25.5968,20477440,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/occip
ADIL,"Adial Pharmaceuticals, Inc",2,20447398,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil
CLRB,"Cellectar Biosciences, Inc.",2.13,20013556.68,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrb
REXN,"Rexahn Pharmaceuticals, Inc.",4.95,19894747.95,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rexn
TTPH,"Tetraphase Pharmaceuticals, Inc.",0.3642,19762876.69,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ttph
MDRR,"Medalist Diversified REIT, Inc.",4.4,19739033.6,n/a,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/mdrr
BIOC,"Biocept, Inc.",1.04,19622162.56,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/bioc
LNGR,Global X Longevity Thematic ETF,21.44,19297093.44,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lngr
LKOR,FlexShares Credit-Scored US Long Corporate Bond Index Fund,55.115,19290305.12,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lkor
DYSL,Dynasil Corporation of America,1.097,19264746.1,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dysl
HSGX,Histogenics Corporation,0.202,19109119.4,n/a,2014,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/hsgx
EDRY,EuroDry Ltd.,8.37,19082930.4,n/a,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/edry
VTSI,"VirTra, Inc.",2.465,19064938.58,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/vtsi
MINDP,"Mitcham Industries, Inc.",23.7263,18933587.4,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mindp
DGLD,Credit Suisse AG,35.08,18908470.8,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/dgld
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,31.5,18900000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adra
CDMOP,"Avid Bioservices, Inc.",26.9061,18834270,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cdmop
VIIX,Credit Suisse AG,9.37,18732297.86,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/viix
DVLU,First Trust Dorsey Wright Momentum & Value ETF,18.6254,18625437.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dvlu
ATOS,Atossa Genetics Inc.,2.04,18614453.28,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atos
SEED,Origin Agritech Limited,5.7854,18491550.04,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/seed
